127.0.0.1, 2018-06-02 10:56:35, GET, /codetrain, HTTP/1.1, 404, 0.000442
127.0.0.1, 2018-06-02 10:56:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000311
127.0.0.1, 2018-06-02 10:56:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000504
127.0.0.1, 2018-06-02 10:57:53, GET, /Codetrain/default/login, HTTP/1.1, 500, 0.322069
127.0.0.1, 2018-06-02 10:57:59, GET, /Codetrain/default/, HTTP/1.1, 404, 0.005516
127.0.0.1, 2018-06-02 11:08:37, GET, /codetrain/default/login, HTTP/1.1, 404, 0.000485
127.0.0.1, 2018-06-02 11:11:50, GET, /codetrain/default/login, HTTP/1.1, 404, 0.000337
127.0.0.1, 2018-06-02 11:11:58, GET, /Codetrain/default/login, HTTP/1.1, 500, 0.032337
127.0.0.1, 2018-06-02 11:12:02, GET, /admin/default/ticket/Codetrain/127.0.0.1.2018-06-02.11-11-58.85591363-13a0-48c7-b311-0f5fd9306bd1, HTTP/1.1, 303, 0.210132
127.0.0.1, 2018-06-02 11:12:03, GET, /admin/default/index, HTTP/1.1, 200, 0.110908
127.0.0.1, 2018-06-02 11:12:03, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.000430
127.0.0.1, 2018-06-02 11:12:03, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.002335
127.0.0.1, 2018-06-02 11:12:03, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.000479
127.0.0.1, 2018-06-02 11:12:03, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.004166
127.0.0.1, 2018-06-02 11:12:03, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.009384
127.0.0.1, 2018-06-02 11:12:03, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.009152
127.0.0.1, 2018-06-02 11:12:03, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000820
127.0.0.1, 2018-06-02 11:12:03, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.000389
127.0.0.1, 2018-06-02 11:12:03, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.006627
127.0.0.1, 2018-06-02 11:12:03, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000618
127.0.0.1, 2018-06-02 11:12:03, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.000794
127.0.0.1, 2018-06-02 11:12:03, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000686
127.0.0.1, 2018-06-02 11:12:03, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.049785
127.0.0.1, 2018-06-02 11:12:03, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.000940
127.0.0.1, 2018-06-02 11:12:19, POST, /admin/default/index, HTTP/1.1, 200, 1.019182
127.0.0.1, 2018-06-02 11:12:26, POST, /admin/default/index, HTTP/1.1, 200, 2.020875
127.0.0.1, 2018-06-02 11:12:54, POST, /admin/default/index, HTTP/1.1, 303, 0.008801
127.0.0.1, 2018-06-02 11:12:54, GET, /admin/default/ticket/Codetrain/127.0.0.1.2018-06-02.11-11-58.85591363-13a0-48c7-b311-0f5fd9306bd1, HTTP/1.1, 200, 0.058596
127.0.0.1, 2018-06-02 11:12:54, GET, /admin/static/_2.16.1/images/help.png, HTTP/1.1, 200, 0.000330
127.0.0.1, 2018-06-02 11:13:33, GET, /Codetrain/default/login, HTTP/1.1, 500, 0.035140
127.0.0.1, 2018-06-02 11:13:36, GET, /admin/default/ticket/Codetrain/127.0.0.1.2018-06-02.11-13-33.e01dc203-55d1-4aab-acb2-de67f576c8d6, HTTP/1.1, 200, 0.033950
127.0.0.1, 2018-06-02 11:19:50, GET, /admin/default/ticket/Codetrain/127.0.0.1.2018-06-02.11-13-33.e01dc203-55d1-4aab-acb2-de67f576c8d6, HTTP/1.1, 200, 0.035426
127.0.0.1, 2018-06-02 11:20:35, GET, /Codetrain/default/register, HTTP/1.1, 500, 0.039732
127.0.0.1, 2018-06-02 11:21:30, GET, /admin/default/ticket/Codetrain/127.0.0.1.2018-06-02.11-20-35.b25f2a5f-b513-4755-9cd1-5d5cf5a93fe0, HTTP/1.1, 200, 0.034401
127.0.0.1, 2018-06-02 11:24:30, GET, /codetrain/default/register, HTTP/1.1, 404, 0.000362
127.0.0.1, 2018-06-02 11:24:36, GET, /Codetrain/default/register, HTTP/1.1, 500, 0.053841
127.0.0.1, 2018-06-02 11:24:46, GET, /Codetrain/default/login, HTTP/1.1, 500, 0.036180
127.0.0.1, 2018-06-02 11:25:09, GET, /Codetrain/default/seeUsers, HTTP/1.1, 500, 0.038109
127.0.0.1, 2018-06-02 11:25:16, GET, /Codetrain/default/register, HTTP/1.1, 500, 0.035966
127.0.0.1, 2018-06-02 11:39:36, GET, /Codetrain/default/register, HTTP/1.1, 200, 0.005129
127.0.0.1, 2018-06-02 11:40:12, GET, /Codetrain/default/register, HTTP/1.1, 200, 0.008355
127.0.0.1, 2018-06-02 11:40:27, GET, /Codetrain/default/login, HTTP/1.1, 200, 0.005574
127.0.0.1, 2018-06-02 11:49:54, GET, /Codetrain/default/register, HTTP/1.1, 200, 0.005368
127.0.0.1, 2018-06-02 11:49:54, GET, /Codetrain/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000435
